type,simulationRun,threshold,mean_score,max_score,p95_score,n_above,max_consec
normal,175,0.6,0.6336221694946289,0.7248939275741577,0.6976546049118042,72,40
normal,175,0.62,0.6336221694946289,0.7248939275741577,0.6976546049118042,54,22
normal,175,0.64,0.6336221694946289,0.7248939275741577,0.6976546049118042,35,16
normal,175,0.66,0.6336221694946289,0.7248939275741577,0.6976546049118042,17,13
normal,175,0.687,0.6336221694946289,0.7248939275741577,0.6976546049118042,10,9
normal,177,0.6,0.6056084632873535,0.7164312601089478,0.6658726334571838,46,19
normal,177,0.62,0.6056084632873535,0.7164312601089478,0.6658726334571838,28,14
normal,177,0.64,0.6056084632873535,0.7164312601089478,0.6658726334571838,18,9
normal,177,0.66,0.6056084632873535,0.7164312601089478,0.6658726334571838,7,4
normal,177,0.687,0.6056084632873535,0.7164312601089478,0.6658726334571838,2,1
normal,184,0.6,0.6151712536811829,0.666519284248352,0.6549645066261292,59,24
normal,184,0.62,0.6151712536811829,0.666519284248352,0.6549645066261292,40,13
normal,184,0.64,0.6151712536811829,0.666519284248352,0.6549645066261292,16,9
normal,184,0.66,0.6151712536811829,0.666519284248352,0.6549645066261292,2,2
normal,184,0.687,0.6151712536811829,0.666519284248352,0.6549645066261292,0,0
normal,186,0.6,0.6295655965805054,0.6960803270339966,0.6794741153717041,71,34
normal,186,0.62,0.6295655965805054,0.6960803270339966,0.6794741153717041,53,22
normal,186,0.64,0.6295655965805054,0.6960803270339966,0.6794741153717041,33,13
normal,186,0.66,0.6295655965805054,0.6960803270339966,0.6794741153717041,17,10
normal,186,0.687,0.6295655965805054,0.6960803270339966,0.6794741153717041,3,2
normal,194,0.6,0.6070743203163147,0.6718918681144714,0.6569116115570068,46,15
normal,194,0.62,0.6070743203163147,0.6718918681144714,0.6569116115570068,29,14
normal,194,0.64,0.6070743203163147,0.6718918681144714,0.6569116115570068,13,9
normal,194,0.66,0.6070743203163147,0.6718918681144714,0.6569116115570068,3,2
normal,194,0.687,0.6070743203163147,0.6718918681144714,0.6569116115570068,0,0
normal,195,0.6,0.6270578503608704,0.6793346405029297,0.666084885597229,73,43
normal,195,0.62,0.6270578503608704,0.6793346405029297,0.666084885597229,49,20
