type,simulationRun,relationship,score_type,mean_score,max_score,p95_score,n_above_p99,max_consec_p99,event_p99
normal,41,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.8438113759836234,2.7720792060502224,2.0074945736330467,1,1,0
normal,41,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.7786013377668617,2.4255495119232653,2.09108171292202,0,0,0
normal,41,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.6137082860820432,2.0056332689078036,1.570343408024387,0,0,0
normal,41,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.8900256094870661,2.4008168877032534,1.8462805317472697,0,0,0
normal,41,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.6424984082205006,1.471327232384555,1.2065318595405659,0,0,0
normal,41,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.5880971813874756,1.6435059240795038,1.363055971560625,0,0,0
normal,45,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.8008710787571034,0.9393385845692761,0.9168931848658252,0,0,0
normal,45,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.8270645551553758,0.9309356557650664,0.8999967168093267,0,0,0
normal,45,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.5743571760381124,0.8782317176979173,0.8499597168487458,0,0,0
normal,45,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8297384717292341,0.9662685513668765,0.9178402190841043,0,0,0
normal,45,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.825277365835566,0.9694487892078929,0.9086192173799748,0,0,0
normal,45,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8388766239815543,0.9527349348666764,0.9167356658854301,0,0,0
normal,45,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.678052279765615,0.8177020971752113,0.7972918888874831,0,0,0
normal,45,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.6450049119496524,0.7678276452777576,0.7398848758664465,0,0,0
normal,45,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.7240557502731724,0.9088264857635765,0.883395759976269,0,0,0
